,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:03,,GM: url: / c/ corridor/ ADE_train_00006332.jpg,,GM,A
12,0 days 00:00:03,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
13,0 days 00:00:04,,"GM: Welcome to the game, gentle_badlands! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:04,,GM: You have to meet in the room of type: j/ jacuzzi/ indoor,,GM,A
15,0 days 00:00:04,,,GM: url: / a/ apartment_building/ outdoor/ ADE_train_00001425.jpg,GM,B
17,0 days 00:00:04,,,GM: You can go: [/ w]est,GM,B
18,0 days 00:00:04,,,"GM: Welcome to the game, wandering_baseball! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:05,,,GM: You have to meet in the room of type: j/ jacuzzi/ indoor,GM,B
20,0 days 00:00:11,,,B: cmd: n,B,All
21,0 days 00:00:11,,,GM: Nothing happened.You can go: [/ w]est,GM,B
22,0 days 00:00:13,,,B: cmd: w,B,All
23,0 days 00:00:14,,,GM: url: / s/ street/ ADE_train_00018812.jpg,GM,B
25,0 days 00:00:14,,,GM: You can go: [/ e]ast [/ w]est,GM,B
26,0 days 00:00:15,B: hi,,,B,All
27,0 days 00:00:19,,,B: cmd: w,B,All
28,0 days 00:00:20,,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009941.jpg,GM,B
30,0 days 00:00:20,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
31,0 days 00:00:26,B: got it :),,,B,All
32,0 days 00:00:30,"A: He, i'm in a hall",,,A,All
33,0 days 00:00:31,B: row of black chairs along the back ,,,B,All
34,0 days 00:00:45,,A: cmd: n,,A,All
35,0 days 00:00:45,,GM: url: / s/ street/ ADE_train_00016870.jpg,,GM,A
37,0 days 00:00:45,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
38,0 days 00:00:53,,A: cmd: s,,A,All
39,0 days 00:00:53,,GM: url: / c/ corridor/ ADE_train_00006332.jpg,,GM,A
41,0 days 00:00:53,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
42,0 days 00:00:57,,A: cmd: s,,A,All
43,0 days 00:00:58,,GM: Nothing happened.You can go: [/ n]orth [/ e]ast,,GM,A
44,0 days 00:01:04,,A: cmd: s,,A,All
45,0 days 00:01:04,,GM: Nothing happened.You can go: [/ n]orth [/ e]ast,,GM,A
46,0 days 00:01:13,,A: cmd: e,,A,All
47,0 days 00:01:17,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009937.jpg,,GM,A
49,0 days 00:01:17,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
50,0 days 00:01:33,B: where are you now? :) ,,,B,All
51,0 days 00:01:35,A: I am in a rom with some rolled towels,,,A,All
52,0 days 00:01:41,A: two tan and a white on e on top,,,A,All
53,0 days 00:01:49,B: does it have a jacuzzi? ,,,B,All
54,0 days 00:01:53,A: is this the jacuzzi room you are in?,,,A,All
55,0 days 00:01:58,A: there might be more than one,,,A,All
56,0 days 00:02:03,B: no there are no towels here,,,B,All
57,0 days 00:02:06,B: shall I come and find you? ,,,B,All
58,0 days 00:02:15,A: some orange or red candles,,,A,All
59,0 days 00:02:19,"A: sure, come find me",,,A,All
60,0 days 00:02:23,B: naw not the one I am in .. .stay put :) ,,,B,All
61,0 days 00:02:24,,,B: cmd: e,B,All
62,0 days 00:02:24,,,GM: url: / s/ street/ ADE_train_00018812.jpg,GM,B
64,0 days 00:02:25,,,GM: You can go: [/ e]ast [/ w]est,GM,B
65,0 days 00:02:27,,,B: cmd: w,B,All
66,0 days 00:02:27,,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009941.jpg,GM,B
68,0 days 00:02:28,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
69,0 days 00:02:30,,,B: cmd: n,B,All
70,0 days 00:02:31,,,GM: url: / j/ jacuzzi/ indoor/ ADE_train_00009937.jpg,GM,B
72,0 days 00:02:31,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
73,0 days 00:02:36,B: ah right got it I think ,,,B,All
74,0 days 00:02:41,,,B: cmd: done,B,All
75,0 days 00:02:41,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'",GM,All
76,0 days 00:02:49,,A: cmd: done,,A,All
77,0 days 00:02:49,GM: Well done! Both of you are                            indeed in the same room of type: j/jacuzzi/indoor!,GM: Well done! Both of you are                            indeed in the same room of type: j/ jacuzzi/ indoor!,GM: Well done! Both of you are                            indeed in the same room of type: j/ jacuzzi/ indoor!,GM,All
78,0 days 00:02:49,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
79,0 days 00:02:49,GM: ,GM: ,GM: ,GM,All
