,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:01,B: ,,B: ,B,All
2,0 days 00:00:03,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:04,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:04,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:04,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:05,,GM: url: / b/ bedroom/ ADE_train_00000339.jpg,,GM,A
12,0 days 00:00:05,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,,GM,A
13,0 days 00:00:06,,"GM: Welcome to the game, resilient_smokescreen! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:06,,GM: You have to meet in the room of type: p/ playroom,,GM,A
15,0 days 00:00:06,,,GM: url: / w/ washhouse/ outdoor/ ADE_train_00019761.jpg,GM,B
17,0 days 00:00:06,,,GM: You can go: [/ n]orth,GM,B
18,0 days 00:00:07,,,"GM: Welcome to the game, precious_passport! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:07,,,GM: You have to meet in the room of type: p/ playroom,GM,B
20,0 days 00:00:11,,A: cmd: n,,A,All
21,0 days 00:00:11,,GM: url: / p/ playroom/ ADE_train_00015397.jpg,,GM,A
23,0 days 00:00:11,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
24,0 days 00:00:13,,,B: cmd: look,B,All
25,0 days 00:00:14,,,GM: You can go: [/ n]orth,GM,B
26,0 days 00:00:16,A: in a playroom,,,A,All
27,0 days 00:00:16,,,B: cmd: n,B,All
28,0 days 00:00:17,,,GM: url: / d/ dining_room/ ADE_train_00006943.jpg,GM,B
30,0 days 00:00:17,,,GM: You can go: [/ s]outh [/ w]est,GM,B
31,0 days 00:00:22,A: red mat on floor,,,A,All
32,0 days 00:00:26,"B: Okay, can you describe it?",,,B,All
33,0 days 00:00:31,A: green ride on tracker,,,A,All
34,0 days 00:00:31,,,B: cmd: w,B,All
35,0 days 00:00:31,,,GM: url: / b/ bedroom/ ADE_train_00000339.jpg,GM,B
37,0 days 00:00:32,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
38,0 days 00:00:38,A: wall is blue,,,A,All
39,0 days 00:00:38,,,B: cmd: n,B,All
40,0 days 00:00:39,,,GM: url: / p/ playroom/ ADE_train_00015397.jpg,GM,B
42,0 days 00:00:39,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
43,0 days 00:00:46,A: there is a mirror on the wall,,,A,All
44,0 days 00:00:47,B: Think I got it,,,B,All
45,0 days 00:00:59,A: are you there,,,A,All
46,0 days 00:01:02,"B: Yep, that sounds like the one",,,B,All
47,0 days 00:01:05,A: k,,,A,All
48,0 days 00:01:07,,,B: cmd: done,B,All
49,0 days 00:01:08,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'",GM,All
50,0 days 00:01:08,,A: cmd: done,,A,All
51,0 days 00:01:08,GM: Well done! Both of you are                            indeed in the same room of type: p/playroom!,GM: Well done! Both of you are                            indeed in the same room of type: p/ playroom!,GM: Well done! Both of you are                            indeed in the same room of type: p/ playroom!,GM,All
52,0 days 00:01:09,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
53,0 days 00:01:09,GM: ,GM: ,GM: ,GM,All
54,0 days 00:01:09,GM: Here's your token: 598KBY2OV,GM: Here's your token: 598KBY2OV,GM: Here's your token: 598KBY2OV,GM,All
55,0 days 00:01:24,B: ,,B: ,B,All
56,0 days 00:01:24,,GM: precious_passport has left the game.,,GM,A
57,0 days 00:01:27,A: ,A: ,,A,All
58,0 days 00:01:28,,,GM: resilient_smokescreen has left the game.,GM,B
59,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM,All
60,0 days 01:04:14,GM: ,GM: ,GM: ,GM,All
