,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:03,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:03,,GM: url: / l/ living_room/ ADE_train_00011415.jpg,,GM,A
12,0 days 00:00:04,,GM: You can go: [/ s]outh [/ e]ast,,GM,A
13,0 days 00:00:04,,"GM: Welcome to the game, great_winds! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:04,,GM: You have to meet in the room of type: r/ reading_room,,GM,A
15,0 days 00:00:04,,,GM: url: / s/ street/ ADE_train_00016980.jpg,GM,B
17,0 days 00:00:05,,,GM: You can go: [/ s]outh [/ w]est,GM,B
18,0 days 00:00:05,,,"GM: Welcome to the game, large_lamp_shade! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:05,,,GM: You have to meet in the room of type: r/ reading_room,GM,B
20,0 days 00:00:11,,,B: cmd: s,B,All
21,0 days 00:00:12,,,GM: url: / r/ reading_room/ ADE_train_00015698.jpg,GM,B
23,0 days 00:00:12,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
24,0 days 00:00:15,,,B: cmd: s,B,All
25,0 days 00:00:15,,,GM: url: / k/ kitchen/ ADE_train_00010167.jpg,GM,B
27,0 days 00:00:16,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
28,0 days 00:00:19,,,B: cmd: s,B,All
29,0 days 00:00:19,,,GM: url: / r/ reading_room/ ADE_train_00015695.jpg,GM,B
31,0 days 00:00:20,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
32,0 days 00:00:34,B: found one with dark furniture,,,B,All
33,0 days 00:00:35,,,B: cmd: n,B,All
34,0 days 00:00:36,,,GM: url: / k/ kitchen/ ADE_train_00010167.jpg,GM,B
36,0 days 00:00:36,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
37,0 days 00:00:38,,,B: cmd: n,B,All
38,0 days 00:00:38,,,GM: url: / r/ reading_room/ ADE_train_00015698.jpg,GM,B
40,0 days 00:00:38,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
41,0 days 00:00:48,A: pink and blue furnitre,,,A,All
42,0 days 00:00:48,"B: another with tables in a circle, looks like",,,B,All
43,0 days 00:00:58,B: ok,,,B,All
44,0 days 00:01:00,B: stay there,,,B,All
45,0 days 00:01:03,B: i'll look for it,,,B,All
46,0 days 00:01:04,A: ok,,,A,All
47,0 days 00:01:06,,,B: cmd: s,B,All
48,0 days 00:01:06,,,GM: url: / k/ kitchen/ ADE_train_00010167.jpg,GM,B
50,0 days 00:01:07,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
51,0 days 00:01:12,B: keep describing,,,B,All
52,0 days 00:01:14,,,B: cmd: w,B,All
53,0 days 00:01:14,,,GM: url: / b/ bedroom/ ADE_train_00003413.jpg,GM,B
55,0 days 00:01:15,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
56,0 days 00:01:17,,,B: cmd: s,B,All
57,0 days 00:01:17,,,GM: url: / r/ reading_room/ ADE_train_00015704.jpg,GM,B
59,0 days 00:01:18,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
60,0 days 00:01:20,,,B: cmd: n,B,All
61,0 days 00:01:20,,,GM: url: / b/ bedroom/ ADE_train_00003413.jpg,GM,B
63,0 days 00:01:21,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
64,0 days 00:01:22,,,B: cmd: n,B,All
65,0 days 00:01:22,,,GM: url: / b/ bathroom/ ADE_train_00003010.jpg,GM,B
67,0 days 00:01:23,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
68,0 days 00:01:27,,,B: cmd: n,B,All
69,0 days 00:01:27,,,GM: url: / l/ living_room/ ADE_train_00011415.jpg,GM,B
71,0 days 00:01:28,,,GM: You can go: [/ s]outh [/ e]ast,GM,B
72,0 days 00:01:31,"A: red walls, has a shelf in the background",,,A,All
73,0 days 00:01:34,B: ok,,,B,All
74,0 days 00:01:40,B: i dont know if this is a reading room,,,B,All
75,0 days 00:01:41,,,B: cmd: e,B,All
76,0 days 00:01:41,,,GM: url: / s/ street/ ADE_train_00016980.jpg,GM,B
78,0 days 00:01:42,,,GM: You can go: [/ s]outh [/ w]est,GM,B
79,0 days 00:01:45,,,B: cmd: s,B,All
80,0 days 00:01:45,,,GM: url: / r/ reading_room/ ADE_train_00015698.jpg,GM,B
82,0 days 00:01:46,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
83,0 days 00:01:49,A: brown door with glass and 2 lamps,,,A,All
84,0 days 00:01:49,B: go east,,,B,All
85,0 days 00:01:50,B: then south,,,B,All
86,0 days 00:01:57,B: to room with books on wall,,,B,All
87,0 days 00:02:04,B: green padded chairs,,,B,All
88,0 days 00:02:05,A: the couch is blue but the other 2 chairs are pink,,,A,All
89,0 days 00:02:17,"B: go 1 east, then 1 south from the room you're in",,,B,All
90,0 days 00:02:29,B: big wall with book,,,B,All
91,0 days 00:02:29,,A: cmd: e,,A,All
92,0 days 00:02:30,,GM: url: / s/ street/ ADE_train_00016980.jpg,,GM,A
94,0 days 00:02:31,,GM: You can go: [/ s]outh [/ w]est,,GM,A
95,0 days 00:02:41,,A: cmd: s,,A,All
