,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:02,,GM: url: / k/ kitchen/ ADE_train_00010250.jpg,,GM,A
12,0 days 00:00:02,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
13,0 days 00:00:02,,"GM: Welcome to the game, wandering_chalk! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:02,,GM: You have to meet in the room of type: d/ doorway/ indoor,,GM,A
15,0 days 00:00:03,,,GM: url: / p/ parlor/ ADE_train_00015216.jpg,GM,B
17,0 days 00:00:03,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
18,0 days 00:00:03,,,"GM: Welcome to the game, calm_zipper! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:03,,,GM: You have to meet in the room of type: d/ doorway/ indoor,GM,B
20,0 days 00:00:09,A: hi there,,,A,All
21,0 days 00:00:11,,A: cmd: n,,A,All
22,0 days 00:00:12,,GM: url: / s/ street/ ADE_train_00018604.jpg,,GM,A
24,0 days 00:00:12,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
25,0 days 00:00:12,B: hello. ,,,B,All
26,0 days 00:00:16,,A: cmd: s,,A,All
27,0 days 00:00:16,,GM: url: / k/ kitchen/ ADE_train_00010250.jpg,,GM,A
29,0 days 00:00:16,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
30,0 days 00:00:20,,A: cmd: e,,A,All
31,0 days 00:00:20,,GM: Nothing happened.You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
32,0 days 00:00:21,,,B: cmd: n,B,All
33,0 days 00:00:21,,,GM: url: / d/ doorway/ indoor/ ADE_train_00007318.jpg,GM,B
35,0 days 00:00:22,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
36,0 days 00:00:24,,A: cmd: w,,A,All
37,0 days 00:00:24,,GM: url: / p/ parlor/ ADE_train_00015216.jpg,,GM,A
39,0 days 00:00:24,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
40,0 days 00:00:25,,,B: cmd: n,B,All
41,0 days 00:00:25,,,GM: url: / d/ doorway/ indoor/ ADE_train_00007340.jpg,GM,B
43,0 days 00:00:25,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
44,0 days 00:00:29,,A: cmd: n,,A,All
45,0 days 00:00:29,,GM: url: / d/ doorway/ indoor/ ADE_train_00007318.jpg,,GM,A
47,0 days 00:00:29,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
48,0 days 00:00:29,,,B: cmd: n,B,All
49,0 days 00:00:30,,,GM: url: / n/ newsstand/ outdoor/ ADE_train_00013835.jpg,GM,B
51,0 days 00:00:30,,,GM: You can go: [/ s]outh,GM,B
52,0 days 00:00:34,,,B: cmd: s,B,All
53,0 days 00:00:34,,,GM: url: / d/ doorway/ indoor/ ADE_train_00007340.jpg,GM,B
55,0 days 00:00:34,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
56,0 days 00:00:38,,,B: cmd: w,B,All
57,0 days 00:00:39,,,GM: Nothing happened.You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
58,0 days 00:00:41,,,B: cmd: e,B,All
59,0 days 00:00:41,,,GM: url: / d/ doorway/ indoor/ ADE_train_00007323.jpg,GM,B
61,0 days 00:00:42,,,GM: You can go: [/ s]outh [/ w]est,GM,B
62,0 days 00:00:51,,,B: cmd: e,B,All
63,0 days 00:00:51,,,GM: Nothing happened.You can go: [/ s]outh [/ w]est,GM,B
64,0 days 00:00:52,A: well i am at a doorway but I dunno if it's the right one,,,A,All
65,0 days 00:00:54,,,B: cmd: s,B,All
66,0 days 00:00:55,,,GM: url: / s/ street/ ADE_train_00018604.jpg,GM,B
68,0 days 00:00:55,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
69,0 days 00:01:01,,,B: cmd: w,B,All
70,0 days 00:01:01,"A: big square white door on the left, open doorway on the right",,,A,All
71,0 days 00:01:02,,,GM: url: / d/ doorway/ indoor/ ADE_train_00007318.jpg,GM,B
73,0 days 00:01:02,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
74,0 days 00:01:07,"A: tan ceiling, green brush to the left",,,A,All
75,0 days 00:01:09,B: not in a doorway yet will keep you update,,,B,All
76,0 days 00:01:11,,,B: cmd: w,B,All
77,0 days 00:01:11,,,GM: Nothing happened.You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
78,0 days 00:01:13,,,B: cmd: ,B,All
79,0 days 00:01:14,,,B: cmd: e,B,All
80,0 days 00:01:15,,,GM: url: / s/ street/ ADE_train_00018604.jpg,GM,B
82,0 days 00:01:15,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
83,0 days 00:01:16,,,B: cmd: e,B,All
84,0 days 00:01:16,,,GM: Nothing happened.You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
85,0 days 00:01:19,,,B: cmd: s,B,All
86,0 days 00:01:19,,,GM: url: / k/ kitchen/ ADE_train_00010250.jpg,GM,B
88,0 days 00:01:19,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
89,0 days 00:01:24,,,B: cmd: w,B,All
