,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:00,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:02,,GM: url: / c/ closet/ ADE_train_00005755.jpg,,GM,A
12,0 days 00:00:02,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
13,0 days 00:00:02,,"GM: Welcome to the game, flowing_map! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:02,,GM: You have to meet in the room of type: r/ reading_room,,GM,A
15,0 days 00:00:03,,,GM: url: / c/ casino/ outdoor/ ADE_train_00005214.jpg,GM,B
17,0 days 00:00:03,,,GM: You can go: [/ s]outh,GM,B
18,0 days 00:00:03,,,"GM: Welcome to the game, condemned_mountain! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:03,,,GM: You have to meet in the room of type: r/ reading_room,GM,B
20,0 days 00:00:08,B: 'ello,,,B,All
21,0 days 00:00:11,,,B: cmd: n,B,All
22,0 days 00:00:12,,,GM: Nothing happened.You can go: [/ s]outh,GM,B
23,0 days 00:00:14,,,B: cmd: s,B,All
24,0 days 00:00:14,,,GM: url: / r/ reading_room/ ADE_train_00015704.jpg,GM,B
26,0 days 00:00:14,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
27,0 days 00:00:17,A: hi,,,A,All
28,0 days 00:00:27,A: i am in the closet ,,,A,All
29,0 days 00:00:36,,A: cmd: n,,A,All
30,0 days 00:00:36,,GM: url: / a/ art_studio/ ADE_train_00001767.jpg,,GM,A
32,0 days 00:00:37,,GM: You can go: [/ s]outh [/ w]est,,GM,A
33,0 days 00:00:37,B: i am in a room with bookshelves but can't tell if they are books on them,,,B,All
34,0 days 00:00:44,,A: cmd: e,,A,All
35,0 days 00:00:44,,GM: Nothing happened.You can go: [/ s]outh [/ w]est,,GM,A
36,0 days 00:00:45,B: *urges you to come out of closet* ,,,B,All
37,0 days 00:00:49,,A: cmd: w,,A,All
38,0 days 00:00:49,,GM: url: / r/ reading_room/ ADE_train_00015704.jpg,,GM,A
40,0 days 00:00:50,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
41,0 days 00:01:04,A: same here now,,,A,All
42,0 days 00:01:11,B: wooden table? ,,,B,All
43,0 days 00:01:16,A: yes,,,A,All
44,0 days 00:01:23,B: okay shall we say this is it? ,,,B,All
45,0 days 00:01:30,A: i think we are here ,,,A,All
46,0 days 00:01:31,A: yes,,,A,All
47,0 days 00:01:33,,A: cmd: done,,A,All
48,0 days 00:01:33,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'",GM,All
49,0 days 00:01:33,,,B: cmd: done,B,All
50,0 days 00:01:34,GM: Well done! Both of you are                            indeed in the same room of type: r/reading_room!,GM: Well done! Both of you are                            indeed in the same room of type: r/ reading_room!,GM: Well done! Both of you are                            indeed in the same room of type: r/ reading_room!,GM,All
51,0 days 00:01:34,"GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.","GM: Please enter the token below into                                                       the token field on the HIT webpage, and close this                                                        browser window.",GM,All
52,0 days 00:01:34,GM: ,GM: ,GM: ,GM,All
53,0 days 00:01:34,GM: Here's your token: 165I1UOOD,GM: Here's your token: 165I1UOOD,GM: Here's your token: 165I1UOOD,GM,All
54,0 days 00:01:46,A: good job,,,A,All
55,0 days 00:01:48,B: ,,B: ,B,All
56,0 days 00:01:48,,GM: condemned_mountain has left the game.,,GM,A
57,0 days 00:02:02,A: ,A: ,,A,All
58,0 days 00:02:05,,,GM: flowing_map has left the game.,GM,B
59,0 days 00:03:00,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM,All
60,0 days 02:05:11,GM: ,GM: ,GM: ,GM,All
