,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:01,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:02,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,,GM,A
12,0 days 00:00:03,,GM: You can go: [/ e]ast [/ w]est,,GM,A
13,0 days 00:00:03,,"GM: Welcome to the game, calm_thorns! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:03,,GM: You have to meet in the room of type: u/ utility_room,,GM,A
15,0 days 00:00:03,,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,GM,B
17,0 days 00:00:03,,,GM: You can go: [/ w]est,GM,B
18,0 days 00:00:04,,,"GM: Welcome to the game, puny_thread! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:04,,,GM: You have to meet in the room of type: u/ utility_room,GM,B
20,0 days 00:00:06,B: hello,,,B,All
21,0 days 00:00:09,B: ok,,,B,All
22,0 days 00:00:13,A: hi,,,A,All
23,0 days 00:00:15,B: utility room we meet at,,,B,All
24,0 days 00:00:18,,A: cmd: n,,A,All
25,0 days 00:00:18,,,B: cmd: w,B,All
26,0 days 00:00:18,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,,GM,A
27,0 days 00:00:18,,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,GM,B
29,0 days 00:00:19,,,GM: You can go: [/ e]ast [/ w]est,GM,B
30,0 days 00:00:20,,,B: cmd: n,B,All
31,0 days 00:00:20,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
32,0 days 00:00:21,,A: cmd: e,,A,All
33,0 days 00:00:21,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,,GM,A
35,0 days 00:00:22,,GM: You can go: [/ w]est,,GM,A
36,0 days 00:00:24,,A: cmd: e,,A,All
37,0 days 00:00:25,,GM: Nothing happened.You can go: [/ w]est,,GM,A
38,0 days 00:00:25,B: in the bathroom now,,,B,All
39,0 days 00:00:27,,,B: cmd: n,B,All
40,0 days 00:00:27,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
41,0 days 00:00:29,,A: cmd: w,,A,All
42,0 days 00:00:30,,,B: cmd: e,B,All
43,0 days 00:00:30,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,,GM,A
45,0 days 00:00:30,,GM: You can go: [/ e]ast [/ w]est,,GM,A
46,0 days 00:00:31,,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,GM,B
48,0 days 00:00:31,,,GM: You can go: [/ w]est,GM,B
49,0 days 00:00:33,,A: cmd: w,,A,All
50,0 days 00:00:35,,GM: url: / u/ utility_room/ ADE_train_00019420.jpg,,GM,A
52,0 days 00:00:36,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
53,0 days 00:00:36,,,B: cmd: s,B,All
54,0 days 00:00:38,,,GM: Nothing happened.You can go: [/ w]est,GM,B
55,0 days 00:00:38,,,B: cmd: s,B,All
56,0 days 00:00:38,,,GM: Nothing happened.You can go: [/ w]est,GM,B
57,0 days 00:00:39,,,B: cmd: w,B,All
58,0 days 00:00:39,,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,GM,B
60,0 days 00:00:40,,,GM: You can go: [/ e]ast [/ w]est,GM,B
61,0 days 00:00:41,,A: cmd: n,,A,All
62,0 days 00:00:41,,GM: url: / w/ waiting_room/ ADE_train_00019698.jpg,,GM,A
64,0 days 00:00:41,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
65,0 days 00:00:43,,,B: cmd: e,B,All
66,0 days 00:00:43,,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,GM,B
68,0 days 00:00:43,,,GM: You can go: [/ w]est,GM,B
69,0 days 00:00:44,,A: cmd: s,,A,All
70,0 days 00:00:44,,GM: url: / u/ utility_room/ ADE_train_00019420.jpg,,GM,A
72,0 days 00:00:44,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
73,0 days 00:00:46,,,B: cmd: w,B,All
74,0 days 00:00:47,,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,GM,B
76,0 days 00:00:48,,,GM: You can go: [/ e]ast [/ w]est,GM,B
77,0 days 00:00:50,A: i'm here. west of bathroom,,,A,All
78,0 days 00:00:52,B: bathroom ,,,B,All
79,0 days 00:01:02,B: west gets me bathroom,,,B,All
80,0 days 00:01:13,B: I am in the bathroom. Where are we meeting again?,,,B,All
81,0 days 00:01:25,A: utility room,,,A,All
82,0 days 00:01:28,B: utility,,,B,All
83,0 days 00:01:29,B: yea,,,B,All
84,0 days 00:01:33,B: ok,,,B,All
85,0 days 00:01:34,,,B: cmd: e,B,All
86,0 days 00:01:34,,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,GM,B
88,0 days 00:01:34,,,GM: You can go: [/ w]est,GM,B
89,0 days 00:01:35,A: small green wastebasket,,,A,All
90,0 days 00:01:37,,,B: cmd: w,B,All
91,0 days 00:01:37,,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,GM,B
93,0 days 00:01:37,,,GM: You can go: [/ e]ast [/ w]est,GM,B
94,0 days 00:01:39,,,B: cmd: n,B,All
95,0 days 00:01:40,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
96,0 days 00:01:45,,,B: cmd: n,B,All
97,0 days 00:01:45,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
98,0 days 00:01:48,,,B: cmd: s,B,All
99,0 days 00:01:48,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
100,0 days 00:01:50,A: washing machine and dryer. small sink and door to outside,,,A,All
101,0 days 00:01:53,B: nothing is working,,,B,All
102,0 days 00:01:55,B: no,,,B,All
103,0 days 00:01:58,,,B: cmd: n,B,All
104,0 days 00:01:59,,,GM: Nothing happened.You can go: [/ e]ast [/ w]est,GM,B
105,0 days 00:02:02,,,B: cmd: e,B,All
106,0 days 00:02:02,,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,GM,B
108,0 days 00:02:03,,,GM: You can go: [/ w]est,GM,B
109,0 days 00:02:05,,,B: cmd: w,B,All
110,0 days 00:02:05,,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,GM,B
112,0 days 00:02:05,,,GM: You can go: [/ e]ast [/ w]est,GM,B
113,0 days 00:02:08,A: maybe we were in different bathrooms,,,A,All
114,0 days 00:02:11,B: In the bathroom again,,,B,All
115,0 days 00:02:15,,A: cmd: e,,A,All
116,0 days 00:02:15,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,,GM,A
118,0 days 00:02:16,,GM: You can go: [/ e]ast [/ w]est,,GM,A
119,0 days 00:02:19,,A: cmd: w,,A,All
120,0 days 00:02:19,,GM: url: / u/ utility_room/ ADE_train_00019420.jpg,,GM,A
122,0 days 00:02:20,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
123,0 days 00:02:23,B: white toilet and gold rug,,,B,All
124,0 days 00:02:26,,A: cmd: e,,A,All
125,0 days 00:02:26,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,,GM,A
127,0 days 00:02:27,,GM: You can go: [/ e]ast [/ w]est,,GM,A
128,0 days 00:02:29,B: maybe,,,B,All
129,0 days 00:02:29,A: yeah,,,A,All
130,0 days 00:02:32,A: yellow tub,,,A,All
131,0 days 00:02:34,,A: cmd: e,,A,All
132,0 days 00:02:38,,GM: url: / k/ kennel/ outdoor/ ADE_train_00010100.jpg,,GM,A
134,0 days 00:02:38,,GM: You can go: [/ w]est,,GM,A
135,0 days 00:02:38,B: yea,,,B,All
136,0 days 00:02:41,,A: cmd: w,,A,All
137,0 days 00:02:42,,GM: url: / b/ bathroom/ ADE_train_00000126.jpg,,GM,A
139,0 days 00:02:42,,GM: You can go: [/ e]ast [/ w]est,,GM,A
140,0 days 00:02:43,B: white shower curtain,,,B,All
141,0 days 00:02:44,,A: cmd: w,,A,All
142,0 days 00:02:44,,GM: url: / u/ utility_room/ ADE_train_00019420.jpg,,GM,A
144,0 days 00:02:44,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
145,0 days 00:03:00,"A: yeah. if i go west from there, i'm in utility room",,,A,All
146,0 days 00:03:01,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM: Attention: you are in the game for 3 minutes!,GM,All
147,0 days 00:03:02,B: don't know about this one. No utility room,,,B,All
148,0 days 00:03:16,B: Put in /done,,,B,All
149,0 days 00:03:19,,A: cmd: done,,A,All
150,0 days 00:03:19,"GM: The '/done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'","GM: The '/ done' command has been issued                                        by you or your partner.                                        To finish the game, both players                                        need to enter '/ done'",GM,All
151,0 days 00:03:23,,,B: cmd: done,B,All
152,0 days 00:03:24,"GM: Unfortunately, you and your                                                   partner were somewhere else, but not                                                   in a room of the required type u/utility_room","GM: Unfortunately, you and your                                                   partner were somewhere else, but not                                                   in a room of the required type u/ utility_room","GM: Unfortunately, you and your                                                   partner were somewhere else, but not                                                   in a room of the required type u/ utility_room",GM,All
153,0 days 00:03:24,"GM: Please enter the token below into                                                   the token field on the HIT webpage, and close this                                                    browser window.","GM: Please enter the token below into                                                   the token field on the HIT webpage, and close this                                                    browser window.","GM: Please enter the token below into                                                   the token field on the HIT webpage, and close this                                                    browser window.",GM,All
154,0 days 00:03:24,GM: ,GM: ,GM: ,GM,All
155,0 days 00:03:25,GM: Here's your token: 2074FX1GE,GM: Here's your token: 2074FX1GE,GM: Here's your token: 2074FX1GE,GM,All
156,0 days 00:03:41,A: ,A: ,,A,All
157,0 days 00:03:41,,,GM: calm_thorns has left the game.,GM,B
158,0 days 00:03:42,B: ,,B: ,B,All
159,0 days 00:03:43,,GM: puny_thread has left the game.,,GM,A
160,0 days 01:43:43,GM: ,GM: ,GM: ,GM,All
