,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:03,,GM: url: / h/ hotel_room/ ADE_train_00009546.jpg,,GM,A
12,0 days 00:00:03,,GM: You can go: [/ s]outh [/ e]ast,,GM,A
13,0 days 00:00:03,,"GM: Welcome to the game, grotesque_soap! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:03,,GM: You have to meet in the room of type: n/ nursery,,GM,A
15,0 days 00:00:04,,,GM: url: / b/ bedroom/ ADE_train_00000306.jpg,GM,B
17,0 days 00:00:04,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
18,0 days 00:00:04,,,"GM: Welcome to the game, energized_oasis! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:04,,,GM: You have to meet in the room of type: n/ nursery,GM,B
20,0 days 00:00:09,,A: cmd: s,,A,All
21,0 days 00:00:09,,GM: url: / s/ street/ ADE_train_00018065.jpg,,GM,A
23,0 days 00:00:10,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
24,0 days 00:00:11,,,B: cmd: s,B,All
25,0 days 00:00:12,,,GM: url: / n/ nursery/ ADE_train_00013894.jpg,GM,B
27,0 days 00:00:12,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
28,0 days 00:00:13,,A: cmd: s,,A,All
29,0 days 00:00:13,,GM: url: / n/ nursery/ ADE_train_00013897.jpg,,GM,A
31,0 days 00:00:13,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
32,0 days 00:00:20,,A: cmd: s,,A,All
33,0 days 00:00:20,,GM: url: / s/ street/ ADE_train_00016931.jpg,,GM,A
35,0 days 00:00:20,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
36,0 days 00:00:24,,A: cmd: n,,A,All
37,0 days 00:00:25,,GM: url: / n/ nursery/ ADE_train_00013897.jpg,,GM,A
39,0 days 00:00:25,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,,GM,A
40,0 days 00:00:25,B: I found one. Let me know when you find one. What it looks like. ,,,B,All
41,0 days 00:00:35,A: im in one with red floor yellow walls,,,A,All
42,0 days 00:00:37,A: butterflies,,,A,All
43,0 days 00:00:45,B: Totally different from mine. ,,,B,All
44,0 days 00:00:45,,A: cmd: e,,A,All
45,0 days 00:00:46,,GM: url: / b/ bedroom/ ADE_train_00000306.jpg,,GM,A
47,0 days 00:00:46,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
48,0 days 00:00:50,,A: cmd: n,,A,All
49,0 days 00:00:50,,GM: url: / n/ nursery/ ADE_train_00013899.jpg,,GM,A
51,0 days 00:00:50,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
52,0 days 00:00:52,B: Do you want to keep looking or me?,,,B,All
53,0 days 00:00:55,A: okay pink walls,,,A,All
54,0 days 00:01:02,A: window on left,,,A,All
55,0 days 00:01:07,A: white chair on left,,,A,All
56,0 days 00:01:14,,,B: cmd: w,B,All
57,0 days 00:01:15,A: white art on right,,,A,All
58,0 days 00:01:15,,,GM: url: / s/ street/ ADE_train_00016931.jpg,GM,B
60,0 days 00:01:16,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
61,0 days 00:01:22,,,B: cmd: n,B,All
62,0 days 00:01:23,,,GM: url: / n/ nursery/ ADE_train_00013897.jpg,GM,B
64,0 days 00:01:23,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
65,0 days 00:01:25,A: yes? no?,,,A,All
66,0 days 00:01:32,,A: cmd: n,,A,All
67,0 days 00:01:33,,GM: url: / s/ street/ ADE_train_00017124.jpg,,GM,A
69,0 days 00:01:33,,GM: You can go: [/ s]outh [/ w]est,,GM,A
70,0 days 00:01:33,B: I'll keep looking. You stay there. ,,,B,All
71,0 days 00:01:36,,,B: cmd: n,B,All
72,0 days 00:01:37,,A: cmd: s,,A,All
73,0 days 00:01:37,,,GM: url: / s/ street/ ADE_train_00018065.jpg,GM,B
75,0 days 00:01:38,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
76,0 days 00:01:38,,GM: url: / n/ nursery/ ADE_train_00013899.jpg,,GM,A
78,0 days 00:01:38,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
79,0 days 00:01:43,A: im in the pink one now,,,A,All
80,0 days 00:01:44,,,B: cmd: n,B,All
81,0 days 00:01:44,,,GM: url: / h/ hotel_room/ ADE_train_00009546.jpg,GM,B
83,0 days 00:01:45,,,GM: You can go: [/ s]outh [/ e]ast,GM,B
84,0 days 00:01:50,,,B: cmd: e,B,All
85,0 days 00:01:50,,,GM: url: / s/ street/ ADE_train_00017124.jpg,GM,B
87,0 days 00:01:51,,,GM: You can go: [/ s]outh [/ w]est,GM,B
88,0 days 00:01:55,A: but let me know if you find the red one with butterflies,,,A,All
89,0 days 00:01:58,A: too,,,A,All
90,0 days 00:02:00,,,B: cmd: s,B,All
91,0 days 00:02:00,,,GM: url: / n/ nursery/ ADE_train_00013899.jpg,GM,B
93,0 days 00:02:01,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
94,0 days 00:02:03,,A: cmd: s,,A,All
