,time,public,A-private,B-private,user,receiver
0,0 days 00:00:00,A: ,A: ,,A,All
1,0 days 00:00:00,B: ,,B: ,B,All
2,0 days 00:00:01,GM: ,GM: ,GM: ,GM,All
3,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
4,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
5,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
6,0 days 00:00:01,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
7,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
8,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
9,0 days 00:00:02,,GM: cmd: listen_to,GM: cmd: listen_to,GM,All
10,0 days 00:00:03,,GM: url: / s/ street/ ADE_train_00017369.jpg,,GM,A
12,0 days 00:00:03,,GM: You can go: [/ n]orth [/ e]ast,,GM,A
13,0 days 00:00:03,,"GM: Welcome to the game, precious_resonance! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",,GM,A
14,0 days 00:00:04,,GM: You have to meet in the room of type: w/ wine_cellar/ bottle_storage,,GM,A
15,0 days 00:00:04,,,GM: url: / l/ living_room/ ADE_train_00011437.jpg,GM,B
17,0 days 00:00:04,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
18,0 days 00:00:04,,,"GM: Welcome to the game, prickly_vase! You can always type the command                                        / look to see viable directions you can walk to.                                        Type / done if you think both of you are in the same room.",GM,B
19,0 days 00:00:05,,,GM: You have to meet in the room of type: w/ wine_cellar/ bottle_storage,GM,B
20,0 days 00:00:15,A: hello,,,A,All
21,0 days 00:00:17,,A: cmd: e,,A,All
22,0 days 00:00:17,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020062.jpg,,GM,A
24,0 days 00:00:17,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,,GM,A
25,0 days 00:00:22,,A: cmd: n,,A,All
26,0 days 00:00:22,,GM: url: / l/ living_room/ ADE_train_00011437.jpg,,GM,A
28,0 days 00:00:22,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,,GM,A
29,0 days 00:00:23,B: hello,,,B,All
30,0 days 00:00:31,,A: cmd: s,,A,All
31,0 days 00:00:32,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020062.jpg,,GM,A
33,0 days 00:00:32,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,,GM,A
34,0 days 00:00:33,,,B: cmd: look,B,All
35,0 days 00:00:34,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
36,0 days 00:00:42,,,B: cmd: w,B,All
37,0 days 00:00:42,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020071.jpg,GM,B
39,0 days 00:00:43,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
40,0 days 00:00:44,A: I found a wine area,,,A,All
41,0 days 00:00:52,,,B: cmd: n,B,All
42,0 days 00:00:52,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00000969.jpg,GM,B
44,0 days 00:00:53,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
45,0 days 00:01:04,,,B: cmd: s,B,All
46,0 days 00:01:04,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020071.jpg,GM,B
48,0 days 00:01:04,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
49,0 days 00:01:09,,,B: cmd: s,B,All
50,0 days 00:01:09,,,GM: url: / s/ street/ ADE_train_00017369.jpg,GM,B
52,0 days 00:01:10,,,GM: You can go: [/ n]orth [/ e]ast,GM,B
53,0 days 00:01:18,B: looks like I am on a street,,,B,All
54,0 days 00:01:25,,,B: cmd: s,B,All
55,0 days 00:01:25,,,GM: Nothing happened.You can go: [/ n]orth [/ e]ast,GM,B
56,0 days 00:01:30,,,B: cmd: e,B,All
57,0 days 00:01:31,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020062.jpg,GM,B
59,0 days 00:01:31,,,GM: You can go: [/ n]orth [/ e]ast [/ w]est,GM,B
60,0 days 00:01:36,A: head north maybe,,,A,All
61,0 days 00:01:40,,,B: cmd: n,B,All
62,0 days 00:01:41,,,GM: url: / l/ living_room/ ADE_train_00011437.jpg,GM,B
64,0 days 00:01:41,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
65,0 days 00:01:47,B: I am in the living room,,,B,All
66,0 days 00:01:58,,,B: cmd: n,B,All
67,0 days 00:01:59,,,GM: url: / s/ street/ ADE_train_00017478.jpg,GM,B
69,0 days 00:01:59,,,GM: You can go: [/ s]outh [/ n]orth [/ w]est,GM,B
70,0 days 00:02:05,,,B: cmd: n,B,All
71,0 days 00:02:07,,,GM: url: / w/ waiting_room/ ADE_train_00019657.jpg,GM,B
73,0 days 00:02:08,,,GM: You can go: [/ s]outh [/ w]est,GM,B
74,0 days 00:02:14,,,B: cmd: w,B,All
75,0 days 00:02:15,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020064.jpg,GM,B
77,0 days 00:02:16,,,GM: You can go: [/ s]outh [/ e]ast,GM,B
78,0 days 00:02:22,,,B: cmd: s,B,All
79,0 days 00:02:23,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00000969.jpg,GM,B
81,0 days 00:02:23,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
82,0 days 00:02:26,,A: cmd: e,,A,All
83,0 days 00:02:26,,GM: url: / d/ dining_room/ ADE_train_00006897.jpg,,GM,A
85,0 days 00:02:27,,GM: You can go: [/ s]outh [/ w]est,,GM,A
86,0 days 00:02:28,,,B: cmd: s,B,All
87,0 days 00:02:28,,,GM: url: / w/ wine_cellar/ bottle_storage/ ADE_train_00020071.jpg,GM,B
89,0 days 00:02:29,,,GM: You can go: [/ s]outh [/ n]orth [/ e]ast,GM,B
90,0 days 00:02:33,,A: cmd: w,,A,All
